,Neighborhood Name,District Name Associated,Number of Services,Distances,Density over Places Ratio,Avg. Students per Teacher Ratio,School Status,Centers Type,Centers Simple Type,Centers Characteristics,Population with Low Studies (%),Total Number of Students,Primary School in people older than 15 (%),Secondary School in people older than 15 (%),Middle Studies in people older than 15 (%),Higher Studies in people older than 15 (%),No education or Incomplete Primary School in people older than 15 (%),Young Population without Post-Compulsory Education (%),Abscence Rate in 4th Grade (%),Graduation Rate in 4th Grade (%),Territorial Socioeconomic Index (IST),Avg. Gini Index (%),Population Density (hab/ha),Net Population Density (hab/residential ha),Number of Places,Number of Students,Number of Teachers
32,el Camp d'en Grassot i Gràcia Nova,Gràcia,12,,1.705,41.583,"public, charter","Secondary School, Kindergarten, Primary & Secondary School, Kindergarten & Primary School, Music School, Kindergarten","High School, General School (with kindergarten), Kindergarten & Primary School, Music School, Kindergarten",religious and non-religious,8.7,31127,9.5,17.6,26.6,44.1,0.9,9.8,0.2,93.2,117.7,30.96,537,907,315.0,3992.0,96.0
33,el Baix Guinardó,Horta-Guinardó,18,,1.3,16.223,"public, charter","Secondary School & FP, Kindergarten & Primary School, University, Kindergarten, Primary, Secondary School & FP, Secondary School, FP, Kindergarten, Primary & Secondary School, Informatics Training, Adult Training, Languages School, Kindergarten, Library & Study Room","High School, Kindergarten & Primary School, University, General School (with kindergarten), FP, Informatics Training, Adult Training, Languages School, Kindergarten, Library & Study Room",religious and non-religious,11.5,22775,12.0,21.0,28.0,35.8,1.8,11.4,0.3,92.4,112.6,30.842,455,1079,350.0,2839.0,175.0
34,Can Baró,Horta-Guinardó,2,,12.0,,"private, public, charter","Kindergarten, Primary & Secondary School, Kindergarten","General School (with kindergarten), Kindergarten",religious and non-religious,12.9,8111,15.4,23.6,26.6,31.1,1.9,15.2,0.3,92.4,107.4,31.471,240,645,20.0,,
35,el Guinardó,Horta-Guinardó,23,,0.953,13.289,"public, charter","Kindergarten & Primary School, University, Kindergarten, Primary & Secondary School, Secondary School, Languages School, Kindergarten, Library & Study Room","Kindergarten & Primary School, University, General School (with kindergarten), High School, Languages School, Kindergarten, Library & Study Room",religious and non-religious,11.5,32572,12.6,22.1,28.7,33.9,1.3,13.6,0.3,92.4,110.3,31.58,282,710,296.0,2206.0,166.0
36,la Font d'en Fargues,Horta-Guinardó,15,,0.431,34.505,"private, public, charter","Kindergarten, Primary & Secondary School, Kindergarten & Primary School, Music School, Kindergarten","General School (with kindergarten), Kindergarten & Primary School, Music School, Kindergarten",religious and non-religious,10.4,8317,11.6,21.5,27.7,35.8,1.2,11.2,0.3,92.4,118.7,31.043,144,244,334.0,3761.0,109.0
37,el Carmel,Horta-Guinardó,13,,1.283,26.056,"public, charter","Kindergarten, Primary, Secondary School & FP, Kindergarten, Primary & Secondary School, Secondary School & FP, Kindergarten & Primary School, Adult Training, Kindergarten, Library & Study Room","General School (with kindergarten), High School, Kindergarten & Primary School, Adult Training, Kindergarten, Library & Study Room",religious and non-religious,19.2,28129,23.0,31.9,24.0,16.1,3.1,26.0,0.3,92.4,92.6,28.768,345,822,269.0,3700.0,142.0
38,la Teixonera,Horta-Guinardó,1,,,,"private, public, charter",Kindergarten,Kindergarten,non-religious,16.7,10473,20.5,29.4,25.2,20.4,2.6,20.8,0.3,92.4,99.1,30.062,353,707,,,
39,Sant Genís dels Agudells,Horta-Guinardó,4,,0.573,9.02,public,"Secondary School & FP, Kindergarten & Primary School, Languages School, Kindergarten","High School, Kindergarten & Primary School, Languages School, Kindergarten",non-religious,17.7,6415,18.1,28.1,27.0,22.1,2.7,19.0,0.3,92.4,100.0,29.5,43,430,75.0,1786.0,198.0
40,Montbau,Horta-Guinardó,18,,0.227,115.471,public,"University, Secondary School & FP, Kindergarten & Primary School, Secondary School, Kindergarten, Library & Study Room","University, High School, Kindergarten & Primary School, Kindergarten, Library & Study Room",non-religious,16.3,4517,14.1,23.8,27.2,29.8,3.5,13.5,0.3,92.4,106.9,29.2,25,447,110.0,1963.0,17.0
41,la Vall d'Hebron,Horta-Guinardó,7,,0.675,39.404,"public, charter","University, Kindergarten & Primary School, FP, Kindergarten, Primary & Secondary School, Kindergarten, Library & Study Room","University, Kindergarten & Primary School, FP, General School (with kindergarten), Kindergarten, Library & Study Room",religious and non-religious,12.9,5158,14.9,22.3,27.3,32.0,2.0,12.8,0.3,92.4,115.2,27.15,79,813,117.0,1852.0,47.0
42,la Clota,Horta-Guinardó,1,,,,"private, public, charter",FP,FP,non-religious,12.5,561,15.3,28.3,23.9,29.4,2.1,27.1,0.3,92.4,104.7,29.6,39,114,,18.0,
43,Horta,Horta-Guinardó,12,,0.26,139.267,"public, charter","Secondary School, Kindergarten & Primary School, Kindergarten, Primary & Secondary School, Kindergarten, Library & Study Room","High School, Kindergarten & Primary School, General School (with kindergarten), Kindergarten, Library & Study Room",religious and non-religious,16.2,24911,18.0,25.0,27.6,25.2,2.4,19.5,0.3,92.4,102.9,29.676,90,439,346.0,4178.0,30.0
44,Vilapicina i la Torre Llobeta,Nou Barris,18,,1.315,35.615,"public, charter","Kindergarten & Primary School, Kindergarten, Primary & Secondary School, Primary & Secondary School, Secondary School, FP, Languages School, Informatics Training, Kindergarten, Library & Study Room","Kindergarten & Primary School, General School (with kindergarten), General School, High School, FP, Languages School, Informatics Training, Kindergarten, Library & Study Room",religious and non-religious,14.9,22725,17.4,26.0,27.4,25.4,2.2,17.9,1.3,73.1,104.1,29.516,455,875,346.0,3704.0,104.0
45,Porta,Nou Barris,16,,1.333,14.267,"public, charter","Kindergarten & Primary School, University, FP, Secondary School, Music School, Secondary School & FP, Kindergarten, Primary & Secondary School, Adult Training, Kindergarten","Kindergarten & Primary School, University, FP, High School, Music School, General School (with kindergarten), Adult Training, Kindergarten",non-religious,19.0,24653,21.7,29.0,26.5,18.9,2.6,29.0,1.3,73.1,89.6,29.344,328,768,246.0,3310.0,232.0
46,el Turó de la Peira,Nou Barris,5,,2.271,27.029,"public, charter","Kindergarten & Primary School, Kindergarten, Primary & Secondary School, Secondary School, Kindergarten","Kindergarten & Primary School, General School (with kindergarten), High School, Kindergarten",religious and non-religious,19.2,13734,22.0,30.2,25.9,17.1,3.1,29.5,1.3,73.1,85.1,30.28,452,1204,199.0,1865.0,69.0
47,Can Peguera,Nou Barris,2,,,,"public, charter",University,University,non-religious,18.6,1882,30.1,34.7,18.9,10.5,3.2,41.1,1.3,73.1,81.4,29.55,186,359,,,
48,la Guineueta,Nou Barris,16,,1.908,16.415,"public, charter","Kindergarten & Primary School, Primary & Secondary Music School, Secondary School & FP, Kindergarten, Primary & Secondary School, Informatics Training, Kindergarten, Library & Study Room","Kindergarten & Primary School, General School, High School, General School (with kindergarten), Informatics Training, Kindergarten, Library & Study Room",non-religious,17.7,13180,19.8,28.4,26.9,20.2,2.8,19.2,1.3,73.1,104.0,25.609,248,689,130.0,3004.0,183.0
49,Canyelles,Nou Barris,6,,3.44,21.792,public,"Kindergarten & Primary School, Adult Training, Kindergarten, Library & Study Room","Kindergarten & Primary School, Adult Training, Kindergarten, Library & Study Room",non-religious,19.4,6039,26.7,33.7,20.8,14.2,2.9,26.4,1.3,73.1,97.3,23.9,86,620,25.0,523.0,24.0
50,les Roquetes,Nou Barris,6,,4.722,20.394,public,"Kindergarten, Primary & Secondary School, Kindergarten, Library & Study Room","General School (with kindergarten), Kindergarten, Library & Study Room",non-religious,20.2,13708,28.5,34.4,21.1,10.9,2.8,40.3,1.3,73.1,76.9,29.5,255,897,54.0,1346.0,66.0
51,Verdun,Nou Barris,10,,8.661,24.607,charter,"Kindergarten & Primary School, Music School, Kindergarten, Primary & Secondary School, Secondary School, Adult Training, Languages School, Kindergarten","Kindergarten & Primary School, Music School, General School (with kindergarten), High School, Adult Training, Languages School, Kindergarten",non-religious,20.0,10929,25.0,33.1,23.3,13.7,3.0,32.5,1.3,73.1,84.1,29.588,537,894,62.0,689.0,28.0
52,la Prosperitat,Nou Barris,12,,1.236,14.52,"public, charter","Kindergarten, Primary & Secondary School, Kindergarten & Primary School, Secondary School, Adult Training, Languages School, Kindergarten","General School (with kindergarten), Kindergarten & Primary School, High School, Adult Training, Languages School, Kindergarten",religious and non-religious,20.2,23209,24.4,32.3,24.0,14.1,3.6,27.0,1.3,73.1,91.8,28.515,451,985,365.0,3267.0,225.0
53,la Trinitat Nova,Nou Barris,4,,2.407,10.129,"public, charter","Kindergarten, Primary & Secondary School, FP, Kindergarten","General School (with kindergarten), FP, Kindergarten",non-religious,18.0,6425,27.8,37.1,20.4,9.6,2.8,42.3,1.3,73.1,76.5,27.82,130,598,54.0,1337.0,132.0
54,Torre Baró,Nou Barris,5,,0.105,0.62,"public, charter","Secondary School, FP, Kindergarten, Library & Study Room","High School, FP, Kindergarten, Library & Study Room",non-religious,16.8,2393,32.4,34.4,17.3,10.1,2.3,45.0,1.3,73.1,75.9,29.55,17,136,162.0,31.0,50.0
55,Ciutat Meridiana,Nou Barris,6,,1.093,12.552,"public, charter","Kindergarten & Primary School, Kindergarten, Primary & Secondary School, Adult Training, Kindergarten","Kindergarten & Primary School, General School (with kindergarten), Adult Training, Kindergarten",religious and non-religious,21.7,8875,33.0,35.4,19.1,7.8,2.4,46.2,1.3,73.1,66.1,29.95,293,729,268.0,1318.0,105.0
56,Vallbona,Nou Barris,1,,0.548,8.368,public,Kindergarten & Primary School,Kindergarten & Primary School,non-religious,21.1,1180,32.6,36.1,14.6,10.1,3.5,48.0,1.3,73.1,74.7,28.4,23,204,42.0,159.0,19.0
57,la Trinitat Vella,Sant Andreu,8,,1.113,122.5,"public, charter","Kindergarten, Primary & Secondary School, FP, Adult Training, Kindergarten, Library & Study Room","General School (with kindergarten), FP, Adult Training, Kindergarten, Library & Study Room",religious and non-religious,19.3,8421,30.1,33.7,20.8,10.8,2.2,41.4,0.2,90.9,73.0,31.28,128,817,115.0,735.0,6.0
58,Baró de Viver,Sant Andreu,3,,1.533,35.294,"public, charter","Kindergarten & Primary School, Kindergarten, Primary, Secondary School & FP, Kindergarten","Kindergarten & Primary School, General School (with kindergarten), Kindergarten",religious and non-religious,19.2,2154,32.9,36.6,17.7,7.8,2.5,45.6,0.2,90.9,77.1,28.5,115,673,75.0,600.0,17.0
59,el Bon Pastor,Sant Andreu,8,,0.348,22.338,"public, charter","Kindergarten, Primary & Secondary School, FP, Kindergarten & Primary School, Adult Training, Kindergarten, Library & Study Room","General School (with kindergarten), FP, Kindergarten & Primary School, Adult Training, Kindergarten, Library & Study Room",religious and non-religious,18.2,11681,24.0,33.1,23.5,14.8,1.8,38.4,0.2,90.9,84.7,28.957,73,763,210.0,1787.0,80.0
60,Sant Andreu,Sant Andreu,37,,0.301,23.061,"public, charter","Kindergarten & Primary School, Music School, Kindergarten, Primary & Secondary School, Secondary School, Adult Training, Languages School, Kindergarten, Library & Study Room","Kindergarten & Primary School, Music School, General School (with kindergarten), High School, Adult Training, Languages School, Kindergarten, Library & Study Room",religious and non-religious,12.6,49891,16.0,24.8,27.9,28.0,1.4,15.0,0.2,90.9,112.3,27.69,310,758,1031.0,7541.0,327.0
61,la Sagrera,Sant Andreu,19,,0.808,37.559,"public, charter","Secondary School, Kindergarten & Primary School, Kindergarten, Primary & Secondary School, FP, Secondary School & FP, Informatics Training, Languages School, Kindergarten, Library & Study Room","High School, Kindergarten & Primary School, General School (with kindergarten), FP, Informatics Training, Languages School, Kindergarten, Library & Study Room",religious and non-religious,13.0,25996,16.3,25.4,28.0,27.5,1.6,14.4,0.2,90.9,107.7,28.685,298,770,369.0,5446.0,145.0
62,el Congrés i els Indians,Sant Andreu,12,,1.467,21.88,"public, charter","Secondary School, Kindergarten & Primary School, Kindergarten, Primary & Secondary School, Kindergarten","High School, Kindergarten & Primary School, General School (with kindergarten), Kindergarten",religious and non-religious,12.9,12595,13.9,24.6,28.4,29.7,1.7,16.7,0.2,90.9,106.7,29.778,352,753,240.0,2188.0,100.0
63,Navas,Sant Andreu,6,,3.721,24.59,"public, charter","Secondary School, Kindergarten & Primary School, Kindergarten","High School, Kindergarten & Primary School, Kindergarten",non-religious,12.1,19349,14.3,24.2,28.5,30.1,1.4,13.5,0.2,90.9,109.0,29.562,521,984,140.0,1918.0,78.0
64,el Camp de l'Arpa del Clot,Sant Martí,17,,1.4,21.562,"public, charter","Kindergarten & Primary School, Secondary School & FP, Kindergarten, Primary & Secondary School, Secondary School, Music School, Languages School, Kindergarten, Library & Study Room","Kindergarten & Primary School, High School, General School (with kindergarten), Music School, Languages School, Kindergarten, Library & Study Room",religious and non-religious,11.3,33931,13.4,22.1,27.1,34.9,1.3,13.2,0.8,89.3,109.9,31.168,518,894,370.0,2954.0,137.0
65,el Clot,Sant Martí,14,,1.588,15.158,"public, charter","Kindergarten & Primary School, Secondary School, Kindergarten, Primary, Secondary School & FP, Adult Training, FP, Languages School, Kindergarten","Kindergarten & Primary School, High School, General School (with kindergarten), Adult Training, FP, Languages School, Kindergarten",non-religious,11.2,23295,14.5,23.6,27.2,31.8,1.3,14.2,0.8,89.3,109.8,29.371,381,1131,240.0,1819.0,120.0
66,el Parc i la Llacuna del Poblenou,Sant Martí,15,,,8.744,"public, charter","University, FP, Languages School, Adult Training, Kindergarten, Library & Study Room","University, FP, Languages School, Adult Training, Kindergarten, Library & Study Room",non-religious,10.2,14076,12.5,19.7,25.1,39.8,1.3,11.9,0.8,89.3,111.4,31.056,139,699,,752.0,86.0
67,la Vila Olímpica del Poblenou,Sant Martí,23,,0.476,13.44,public,"University, Secondary School, Kindergarten & Primary School, Music School, FP, Kindergarten, Library & Study Room","University, High School, Kindergarten & Primary School, Music School, FP, Kindergarten, Library & Study Room",non-religious,4.3,8045,5.8,12.3,23.3,55.8,0.4,6.9,0.8,89.3,126.1,32.08,100,380,210.0,1680.0,125.0
68,el Poblenou,Sant Martí,32,,0.28,14.841,"public, charter","Kindergarten, Primary & Secondary School, Music School, Kindergarten & Primary School, FP, Secondary School, University, Languages School, Adult Training, Kindergarten, Library & Study Room","General School (with kindergarten), Music School, Kindergarten & Primary School, FP, High School, University, Languages School, Adult Training, Kindergarten, Library & Study Room",religious and non-religious,10.4,29010,12.3,20.0,24.9,39.3,1.2,13.0,0.8,89.3,114.2,31.73,217,755,774.0,6886.0,464.0
69,Diagonal Mar i el Front Marítim del Poblenou,Sant Martí,7,,1.09,,"public, charter","Kindergarten, Primary & Secondary School, FP, Kindergarten & Primary School, Kindergarten, Library & Study Room","General School (with kindergarten), FP, Kindergarten & Primary School, Kindergarten, Library & Study Room",non-religious,10.5,11075,11.1,18.5,23.6,43.2,1.3,12.1,0.8,89.3,116.6,31.814,109,556,100.0,2628.0,
70,el Besòs i el Maresme,Sant Martí,13,,0.601,28.527,"public, charter","Kindergarten & Primary School, Secondary School, University, Secondary School & FP, Kindergarten, Primary & Secondary School, Primary, Secondary School & FP, Kindergarten, Library & Study Room","Kindergarten & Primary School, High School, University, General School (with kindergarten), General School, Kindergarten, Library & Study Room",religious and non-religious,21.4,23048,27.8,32.7,21.1,14.1,2.6,41.6,0.8,89.3,72.4,29.715,212,913,353.0,5363.0,188.0
71,Provençals del Poblenou,Sant Martí,17,,1.237,21.911,"public, charter","Kindergarten & Primary School, University, Informatics Training, Music School, Languages School, Kindergarten","Kindergarten & Primary School, University, Informatics Training, Music School, Languages School, Kindergarten",non-religious,12.7,18070,16.4,25.8,25.3,29.0,1.7,18.4,0.8,89.3,107.0,29.242,193,1368,156.0,1972.0,90.0
72,Sant Martí de Provençals,Sant Martí,19,,0.579,25.518,"public, charter","Kindergarten & Primary School, Kindergarten, Primary & Secondary School, Secondary School & FP, Secondary School, FP, Languages School, Kindergarten, Library & Study Room","Kindergarten & Primary School, General School (with kindergarten), High School, FP, Languages School, Kindergarten, Library & Study Room",religious and non-religious,16.6,22790,19.7,27.9,26.1,22.5,2.1,18.8,0.8,89.3,102.9,27.361,355,1111,613.0,4287.0,168.0
73,la Verneda i la Pau,Sant Martí,15,,1.454,12.449,"public, charter","FP, Kindergarten & Primary School, Secondary School, Languages School, Informatics Training, Adult Training, Kindergarten","FP, Kindergarten & Primary School, High School, Languages School, Informatics Training, Adult Training, Kindergarten",religious and non-religious,18.9,25363,23.6,30.8,24.4,16.5,2.9,25.1,0.8,89.3,96.0,27.129,253,714,174.0,3162.0,254.0
