,Name,Neighborhood Name,Status
0,Escola Poeta Foix,Sarrià-Sant Gervasi,public
1,Escola Arc Iris,Horta-Guinardó,public
2,Escola Baixeras,Ciutat Vella,public
3,Escola Parc de la Ciutadella,Ciutat Vella,public
4,Escola Mossèn Jacint Verdaguer,Sants-Montjuïc,public
5,Escola De Bosc de Montjuïc,Sants-Montjuïc,public
6,Escola Ramon Llull,Eixample,public
7,Escola Cervantes,Ciutat Vella,public
8,Escola Collaso i Gil,Ciutat Vella,public
9,Escola Milà i Fontanals,Ciutat Vella,public
10,Escola Castella,Ciutat Vella,public
11,Escola Drassanes,Ciutat Vella,public
12,Escola Rubén Darío,Ciutat Vella,public
13,Escola Fort Pienc,Eixample,public
14,Escola Poble-sec,Sants-Montjuïc,public
15,Escola Tres Pins,Sants-Montjuïc,public
16,Escola La Sedeta,Gràcia,public
17,Escola Baró de Viver,Sant Andreu,public
18,Escola Tomàs Moro,Nou Barris,public
19,Escola Elisenda de Montcada,Nou Barris,public
20,Escola Mestre Morera,Nou Barris,public
21,Escola Ferrer i Guàrdia,Nou Barris,public
22,Escola Bernat de Boïl,Sant Andreu,public
23,Escola Calderón de la Barca,Nou Barris,public
24,Escola El Turó,Nou Barris,public
25,Escola Fluvià,Sant Martí,public
26,Escola Concepción Arenal,Sant Martí,public
27,Escola Eduard Marquina,Sant Martí,public
28,Escola Prim,Sant Martí,public
29,Escola Joaquim Ruyra,Sant Martí,public
30,Escola Mas Casanovas,Horta-Guinardó,public
31,Escola Àgora,Nou Barris,public
32,Escola Miralletes,Sant Martí,public
33,Escola Francesc Macià,Sants-Montjuïc,public
34,Escola Miquel Bleach,Sants-Montjuïc,public
35,Escola Pau Casals-Gràcia,Gràcia,public
36,Escola Pere Vila,Eixample,public
37,Escola de la Concepció,Eixample,public
38,Escola Cavall Bernat,Sants-Montjuïc,public
39,Inst-Esc Art. Oriol Martorell,Nou Barris,public
40,Escola Sagrada Família,Gràcia,public
41,Escola La Maquinista,Sant Andreu,public
42,Escola Pau Romeva,Les Corts,public
43,Escola Antoni Balmanya,Sant Martí,public
44,Escola Baldiri Reixac,Gràcia,public
45,Escola Jovellanos,Horta-Guinardó,public
46,Escola Dovella,Sant Martí,public
47,Escola El Carmel,Horta-Guinardó,public
48,Escola La Muntanyeta,Sants-Montjuïc,public
49,Escola Pau Vila,Sants-Montjuïc,public
50,Escola Carlit,Eixample,public
51,Escola El Polvorí,Sants-Montjuïc,public
52,Escola Rambleta del Clot,Sant Martí,public
53,Escola Can Clos,Sants-Montjuïc,public
54,Escola Enric Granados,Sants-Montjuïc,public
55,Escola Ramon Casas,Sants-Montjuïc,public
56,Escola Bàrkeno,Sants-Montjuïc,public
57,Escola Casas,Sant Martí,public
58,Escola Ausiàs March,Les Corts,public
59,Escola Turó del Cargol,Gràcia,public
60,Escola Reina Violant-Comas i Solà,Gràcia,public
61,Escola Marinada,Nou Barris,public
62,Escola Tibidabo,Nou Barris,public
63,Escola Víctor Català,Nou Barris,public
64,Escola Prosperitat,Nou Barris,public
65,Escola Doctor Ferran i Clua,Sant Andreu,public
66,Escola Coves d'en Cimany,Horta-Guinardó,public
67,Escola La Farigola del Clot,Sant Martí,public
68,Escola La Mar Bella,Sant Martí,public
69,Escola Pompeu Fabra,Sant Andreu,public
70,Escola Pegaso,Sant Andreu,public
71,Escola Els Llorers,Eixample,public
72,Escola L'Estel,Sant Andreu,public
73,Escola El Sagrer,Sant Andreu,public
74,Escola Santiago Rusiñol,Nou Barris,public
75,Escola Taxonera,Horta-Guinardó,public
76,Escola Congrés-Indians,Sant Andreu,public
77,Escola Mercè Rodoreda,Nou Barris,public
78,Escola Ramón y Cajal,Sant Andreu,public
79,Escola Sant Jordi,Nou Barris,public
80,Escola Joan Miró,Eixample,public
81,Escola Les Acàcies,Sant Martí,public
82,Escola Auró,Eixample,public
83,Escola Vila Olímpica,Sant Martí,public
84,Escola L'Arenal de Llevant,Sant Martí,public
85,Escola Pere IV,Sant Martí,public
86,Escola Duran i Bas,Les Corts,public
87,Escola Sant Josep Oriol,Nou Barris,public
88,Escola Seat,Sants-Montjuïc,public
89,Escola Tabor,Eixample,public
90,Escola Fructuós Gelabert,Eixample,public
91,Escola del Mar,Horta-Guinardó,public
92,Escola dels Encants,Eixample,public
93,Escola Parc del Guinardó,Horta-Guinardó,public
94,Escola Mallorca,Eixample,public
95,Escola Patronat Domènech,Gràcia,public
96,Escola Sant Martí,Sant Martí,public
97,Escola Torrent d'en Melis,Horta-Guinardó,public
98,Escola Antaviana,Nou Barris,public
99,Escola Estel-Guinardó,Horta-Guinardó,public
100,Escola Cal Maiol,Sants-Montjuïc,public
101,Escola Ramon Berenguer III,Sant Andreu,public
102,Escola Emili Juncadella,Sant Andreu,public
103,Escola La Llacuna del Poblenou,Sant Martí,public
104,Institut Escola Turó de Roquetes,Nou Barris,public
105,Escola L'Arc de Sant Martí,Sant Martí,public
106,Escola Josep Maria Jujol,Gràcia,public
107,Escola Mare Nostrum,Horta-Guinardó,public
108,Escola l'Univers,Gràcia,public
109,Escola Rius i Taulet,Gràcia,public
110,Escola La Pau,Sant Martí,public
111,Escola Barcelona,Les Corts,public
112,Escola Les Corts,Les Corts,public
113,Escola Ítaca,Les Corts,public
114,Escola Pràctiques,Sants-Montjuïc,public
115,Escola Jaume I,Sants-Montjuïc,public
116,Escola Octavio Paz,Sant Andreu,public
117,Escola Font d'en Fargas,Horta-Guinardó,public
118,Escola Sant Pere Nolasc,Sant Andreu,public
119,Escola Lavínia,Les Corts,public
120,Escola Palma de Mallorca,Nou Barris,public
121,Escola Splai,Nou Barris,public
122,Escola Gayarre,Sants-Montjuïc,public
123,Escola Els Horts,Sant Martí,public
124,Escola La Palmera,Sant Martí,public
125,Escola Antoni Brusi,Sant Martí,public
126,Escola Ciutat Comtal,Nou Barris,public
127,Escola Àngels Garriga,Horta-Guinardó,public
128,Escola Aiguamarina,Nou Barris,public
129,Escola Turó Blau,Sant Andreu,public
130,Escola Dolors Monserdà-Santapau,Sarrià-Sant Gervasi,public
131,Escola Alexandre Galí,Ciutat Vella,public
132,Escola Bogatell,Sant Martí,public
133,Escola Poblenou,Sant Martí,public
134,Escola Pit-Roig,Horta-Guinardó,public
135,Escola La Farigola de Vallcarca,Gràcia,public
136,Escola Heura,Horta-Guinardó,public
137,Escola Torrent de Can Carabassa,Horta-Guinardó,public
138,Escola Brasil,Sant Martí,public
139,Escola Barrufet,Sants-Montjuïc,public
140,Escola Montseny,Gràcia,public
141,Escola Catalònia,Sant Martí,public
142,Escola Josep Maria de Sagarra,Gràcia,public
143,Escola Ignasi Iglésias,Sant Andreu,public
144,Escola Pau Casals,Horta-Guinardó,public
145,Escola Pare Poveda,Gràcia,public
146,Escola Orlandai,Sarrià-Sant Gervasi,public
147,Escola Tàber,Sarrià-Sant Gervasi,public
148,Escola Els Pins,Horta-Guinardó,public
149,Escola Provençals,Sant Martí,public
150,Escola Els Porxos,Sant Martí,public
151,Escola Baloo,Horta-Guinardó,public
152,Escola Bac de Roda,Sant Martí,public
153,Escola Mare de Déu de Montserrat,Horta-Guinardó,public
154,Escola Lluís Vives,Sants-Montjuïc,public
155,Institut Escola Costa i Llobera,Sarrià-Sant Gervasi,public
156,Escola Timbaler del Bruc,Nou Barris,public
157,Escola Mediterrània,Ciutat Vella,public
158,Escola Els Xiprers,Sarrià-Sant Gervasi,public
159,Escola La Caixa,Sant Martí,public
160,Escola Nabí,Sarrià-Sant Gervasi,public
161,Escola Ferran Sunyer,Eixample,public
162,Escola Mestre Enric Gibert i Camins,Sant Andreu,public
163,Escola Eulàlia Bota,Sant Andreu,public
164,Escola Diputació,Ciutat Vella,public
165,Escola Can Fabra,Sant Andreu,public
166,Anna Ravell,Sants-Montjuïc,charter
167,Lys,Sarrià-Sant Gervasi,charter
168,Mireia,Eixample,charter
169,Sagrado Corazón,Eixample,charter
170,Sant Pere Claver,Sants-Montjuïc,charter
171,Sant Francesc Xavier,Sants-Montjuïc,charter
172,Sant Josep-Teresianes,Gràcia,charter
173,Acis-Artur Martorell,Horta-Guinardó,charter
174,Claret,Gràcia,charter
175,L'Esperança,Sant Andreu,charter
176,Mare Alfonsa Cavín,Nou Barris,charter
177,Amor de Dios,Nou Barris,charter
178,Bon Pastor,Sant Andreu,charter
179,Grèvol,Sant Martí,charter
180,Montseny-Poblenou,Sant Martí,charter
181,Sant Ramon Nonat,Les Corts,charter
182,Sant Ramon Nonat-Sagrat Cor,Les Corts,charter
183,Santa Maria dels Apòstols,Sant Martí,charter
184,Sant Gabriel,Sant Martí,charter
185,Jesús Maria,Nou Barris,charter
186,Grey,Nou Barris,charter
187,Sagrat Cor Besòs,Sant Martí,charter
188,Sagrada Família,Ciutat Vella,charter
189,Sant Joan Baptista,Ciutat Vella,charter
190,Sant Felip Neri,Ciutat Vella,charter
191,Sant Vicenç de Paül,Sants-Montjuïc,charter
192,Santa Anna-Eixample,Eixample,charter
193,Joan Pelegrí,Sants-Montjuïc,charter
194,Proa,Sants-Montjuïc,charter
195,Sant Medir,Sants-Montjuïc,charter
196,Madres Concepcionistas de la Enseñanza,Sarrià-Sant Gervasi,charter
197,Roig Tesalia,Horta-Guinardó,charter
198,Santa Teresa - Ganduxer,Sarrià-Sant Gervasi,charter
199,Palcam,Horta-Guinardó,charter
200,Santa Dorotea,Sarrià-Sant Gervasi,charter
201,Mary Ward,Sarrià-Sant Gervasi,charter
202,Nostra Senyora de Lurdes,Sarrià-Sant Gervasi,charter
203,Mare del Diví Pastor,Eixample,charter
204,Escolàpies Sant Martí - Barcelona,Sant Martí,charter
205,Nausica,Sarrià-Sant Gervasi,charter
206,Infant Jesús,Sarrià-Sant Gervasi,charter
207,Escola Pia Balmes,Sarrià-Sant Gervasi,charter
208,Sant Joan de Déu-Hospital Sant Joan de Déu,Les Corts,charter
209,Mare de Déu de Núria,Sant Martí,charter
210,Augusta,Sarrià-Sant Gervasi,charter
211,La Salle Bonanova,Sarrià-Sant Gervasi,charter
212,Canigó,Sarrià-Sant Gervasi,charter
213,Sil,Sarrià-Sant Gervasi,charter
214,Sant Gregori,Sarrià-Sant Gervasi,charter
215,Mare de Déu del Coll,Gràcia,charter
216,Escola Pia de Sarrià-Calassanç,Sarrià-Sant Gervasi,charter
217,Decroly,Sarrià-Sant Gervasi,charter
218,Jesús i Maria,Sarrià-Sant Gervasi,charter
219,Lleó XIII,Sarrià-Sant Gervasi,charter
220,Abat Oliba-Spínola,Horta-Guinardó,charter
221,La Salle Comtal,Ciutat Vella,charter
222,Casp-Sagrat Cor de Jesús,Eixample,charter
223,Sagrat Cor-Diputació,Eixample,charter
224,Escolàpies Llúria-Barcelona,Eixample,charter
225,Jesuïtes Gràcia - Kostka,Gràcia,charter
226,Reina Elisenda,Gràcia,charter
227,Lestonnac,Eixample,charter
228,Dominiques de l'Ensenyament de Barcelona,Eixample,charter
229,Frederic Mistral-Tècnic Eulàlia,Sarrià-Sant Gervasi,charter
230,La Merced,Eixample,charter
231,Maristes La Immaculada,Eixample,charter
232,Shalom,Eixample,charter
233,Immaculada Concepció Barcelona,Eixample,charter
234,Vedruna Àngels,Ciutat Vella,charter
235,Magòria,Sants-Montjuïc,charter
236,Labouré,Ciutat Vella,charter
237,Escola Pia Sant Antoni,Ciutat Vella,charter
238,Alfageme,Sants-Montjuïc,charter
239,John Talabot,Sarrià-Sant Gervasi,charter
240,Centre Educatiu Projecte,Sarrià-Sant Gervasi,charter
241,Virolai,Horta-Guinardó,charter
242,Vedruna-Gràcia,Gràcia,charter
243,Sant Josep,Gràcia,charter
244,La Salle Gràcia,Gràcia,charter
245,Arrels,Sant Andreu,charter
246,Sant Lluís,Nou Barris,charter
247,Santa Teresa de Jesús,Horta-Guinardó,charter
248,Ramon Llull,Sant Andreu,charter
249,Piaget,Horta-Guinardó,charter
250,Valldaura,Nou Barris,charter
251,El Clot,Sant Martí,charter
252,Mare de Déu dels Àngels,Sant Andreu,charter
253,Garbiñe,Sants-Montjuïc,charter
254,IPSI,Eixample,charter
255,Urgell,Eixample,charter
256,Voramar,Sant Martí,charter
257,Asunción de Nuestra Señora,Sant Martí,charter
258,Marillac,Eixample,charter
259,Santísima Trinidad,Sant Andreu,charter
260,Maristes Sants - les Corts,Les Corts,charter
261,Santa Teresa de Lisieux,Les Corts,charter
262,Vedruna Immaculada,Eixample,charter
263,Pare Manyanet,Les Corts,charter
264,Guinardó,Horta-Guinardó,charter
265,Castro  de la Peña,Horta-Guinardó,charter
266,Nou Patufet,Gràcia,charter
267,IPSE,Eixample,charter
268,Providencia del Corazón de Jesús,Horta-Guinardó,charter
269,Mare de Déu del Roser,Eixample,charter
270,FEDAC-Horta,Horta-Guinardó,charter
271,La Salle Horta,Horta-Guinardó,charter
272,Regina Carmeli,Horta-Guinardó,charter
273,Joan Roca 1953,Sant Andreu,charter
274,Immaculada Concepció,Horta-Guinardó,charter
275,L'Horitzó,Sarrià-Sant Gervasi,charter
276,Sant Josep Oriol,Eixample,charter
277,Sant Miquel,Eixample,charter
278,Thau,Les Corts,charter
279,Sant Pau,Les Corts,charter
280,Aloma,Nou Barris,charter
281,Sagrada Família,Sant Andreu,charter
282,Jesús Maria,Sant Andreu,charter
283,Nostra Senyora del Carme,Sants-Montjuïc,charter
284,FEDAC-Sant Andreu,Sant Andreu,charter
285,Sagrada Família,Eixample,charter
286,Sagrada Família-Horta,Horta-Guinardó,charter
287,Escola Pia-Luz Casanova,Nou Barris,charter
288,Sant Marc de Sarrià,Sarrià-Sant Gervasi,charter
289,Sant Ignasi,Sarrià-Sant Gervasi,charter
290,Sagrado Corazón,Sarrià-Sant Gervasi,charter
291,Abat Oliba-Loreto,Les Corts,charter
292,Lloret,Sants-Montjuïc,charter
293,"Jesús, Maria i Josep",Sant Andreu,charter
294,Prínceps 23 d'Abril,Nou Barris,charter
295,Betània-Patmos,Sarrià-Sant Gervasi,charter
296,Reial Monestir de Santa Isabel,Sarrià-Sant Gervasi,charter
297,Sagrat Cor-Sarrià,Sarrià-Sant Gervasi,charter
298,Sant Joan Bosco,Horta-Guinardó,charter
299,Montserrat,Sants-Montjuïc,charter
300,Peter Pan,Sarrià-Sant Gervasi,charter
301,Montserrat,Sarrià-Sant Gervasi,charter
302,Miró,Sant Martí,charter
303,Mare de Déu de la Soledat,Sant Andreu,charter
304,Sagrat Cor,Eixample,charter
305,Padre Damián Sagrados Corazones,Sarrià-Sant Gervasi,charter
306,Sadako,Gràcia,charter
307,Josep Tous,Sants-Montjuïc,charter
308,Sant Ferran,Nou Barris,charter
309,San Rafael,Sant Martí,charter
310,Verns,Sant Martí,charter
311,Solc,Les Corts,charter
