"Barri","Nº de morts","Taxa Mort. Crua"
"1. EL RAVAL","313","652.4"
"2. EL BARRI GÒTIC","116","500.9"
"3. LA BARCELONETA","173","1168.5"
"4. ST PERE, STA CATERINA, I LA RIBERA","139","604.4"
"5. EL FORT PIENC","291","867.3"
"6. LA SAGRADA FAMILIA","502","966.2"
"7. LA DRETA DEL EIXAMPLE","482","1087.4"
"8. L'ANTIGA ESQUERRA DE L'EIXAMPLE","419","979.2"
"9. LA NOVA ESQUERRA DE L'EIXAMPLE","553","958.1"
"10. SANT ANTONI","366","949.2"
"11. EL POBLE SEC","335","843"
"12. LA MARINA DEL PRAT VERMELL","23","1576.4"
"13. LA MARINA DEL PORT","269","873.6"
"14. LA FONT DE LA GUATLLA","97","934"
"15. HOSTAFRANCS","122","764.3"
"16. LA BORDETA","215","1108.6"
"17. SANTS-BADAL","195","796.3"
"18. SANTS","374","862"
"19. LES CORTS","449","979"
"20. LA MATERNITAT I SANT RAMON","229","964.3"
"21. PEDRALBES","111","940.6"
"22. VALLVIDRERA, EL TIBIDABO I LES PLANES","27","560.3"
"23. SARRIÀ","206","833.4"
"24. LES TRES TORRES","138","849.6"
"25. SANT GERVASI-LA BONANOVA","248","958.3"
"26. SANT GERVASI-GALVANY","450","955.6"
"27. EL PUTXET I EL FARRO","273","914.8"
"28. VALLCARCA I ELS PENITENTS","162","1003.5"
"29. EL COLL","40","526.7"
"30. LA SALUT","136","1013.2"
"31. LA VILA DE GRÀCIA","437","869.3"
"32. EL CAMP D'EN GRASSOT I GRÀCIA NOVA","337","958.7"
"33. EL BAIX GUINARDÓ","286","1111.1"
"34. CAN BARÓ","96","1023.6"
"35. EL GUINARDÓ","381","1024.5"
"36. LA FONT D'EN FARGUES","103","1091.1"
"37. EL CARMEL","278","858.6"
"38. LA TEIXONERA","98","815.7"
"39. SANT GENIS DELS AGUDELLS","95","1288.1"
"40. MONTBAU","100","1979"
"41. LA VALL D'HEBRON","73","1240"
"42. LA CLOTA","5","737.5"
"43. HORTA","270","959.8"
"44. VILAPICINA I TORRE LLOBETA","273","1060.6"
"45. PORTA","287","1036.3"
"46. EL TURÓ DE LA PEIRA","186","1155.4"
"47. CAN PEGUERA","27","1232.9"
"48. LA GUINEUETA","163","1074.1"
"49. CANYELLES","78","1146"
"50. LES ROQUETES","107","654.5"
"51. VERDUM","113","891.7"
"52. LA PROSPERITAT","288","1083.6"
"53. LA TRINITAT NOVA","75","995.4"
"54. TORRE BARÓ","15","511.2"
"55. CIUTAT MERIDIANA","78","704.4"
"56. VALLBONA","14","989.4"
"57. LA TRINITAT VELLA","59","568.7"
"58. BARÓ DE VIVER","25","958.6"
"59. EL BON PASTOR","108","792.7"
"60. SANT ANDREU","504","869"
"61. LA SAGRERA","266","905.1"
"62. EL CONGRÉS I ELS INDIANS","145","1005.1"
"63. NAVAS","223","1008.6"
"64. EL CAMP DE L'ARPA DEL CLOT","374","971.5"
"65. EL CLOT","203","765"
"66. EL PARC I LA LLACUNA DEL POBLE NOU","118","741.8"
"67. LA VILA OLIMPICA DEL POBLE NOU","47","497.9"
"68. EL POBLE NOU","272","791.5"
"69. DIAGONAL MAR I EL FRONT MARITIM DEL POBLE NOU","95","701.5"
"70. EL BESÒS I EL MARESME","221","832.2"
"71. PROVENÇALS DEL POBLE NOU","119","559.3"
"72. SANT MARTÍ DE PROVENÇALS","278","1063.5"
"73. LA VERNEDA I LA PAU","294","1021.4"
"TOTAL","16172","978.3"